# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_compound
# Exported by: Badger
setting:	replacespawns 1
ttt_random_weapon	2243.402588 -977.631592 51.690765	1.756 2.419 -92.736
ttt_random_weapon	2988.455566 893.970764 67.980362	-3.495 37.613 -88.970
ttt_random_weapon	311.878448 32.714890 1.226537	1.576 6.648 -93.283
weapon_ttt_dualelite	2754.810791 477.671173 8.082473	1.615 0.187 1.022
weapon_ttt_dualelite	1748.994629 -470.652863 82.544960	2.743 0.426 -0.067
weapon_ttt_dualelite	2935.949463 -1260.275879 50.083736	3.051 -0.155 -0.340
weapon_ttt_dualelite	987.009033 -209.001816 0.067904	2.213 25.440 0.525
weapon_ttt_dualelite	4005.980469 1450.279175 8.007565	1.948 0.154 -0.068
weapon_ttt_dualelite	3983.888916 1435.857056 7.974102	2.000 0.163 -0.060
weapon_ttt_dualelite	996.817871 -1530.769653 -0.008848	1.973 0.157 -0.064
weapon_ttt_dualelite	2295.449219 -1375.267212 179.301041	1.373 0.066 6.573
item_ammo_smg1_ttt	1645.115356 1455.586548 57.857399	-1.243 -0.049 -0.300
item_ammo_smg1_ttt	1677.224854 1446.931763 59.812099	11.628 -3.263 -0.283
item_ammo_smg1_ttt	2031.668823 440.926514 36.391701	0.109 -0.005 0.061
item_ammo_smg1_ttt	2013.825806 440.408997 36.399300	-0.152 0.005 0.090
item_ammo_smg1_ttt	2125.636475 -1513.661865 8.477500	0.503 -0.001 0.218
item_ammo_smg1_ttt	2122.448242 -1489.185913 8.479900	0.210 0.000 0.022
item_ammo_smg1_ttt	2325.403320 -366.890686 66.539497	0.508 0.401 0.501
item_ammo_smg1_ttt	2324.983887 -402.697510 66.549599	0.301 0.399 0.294
item_ammo_smg1_ttt	2478.533691 -845.668884 256.430603	0.757 -0.002 0.496
item_ammo_smg1_ttt	2479.410400 -875.704712 256.415710	0.338 -0.005 0.215
item_ammo_smg1_ttt	335.724701 -711.869629 0.512300	-0.288 0.012 -0.247
item_ammo_smg1_ttt	356.647400 -715.294800 0.428600	0.663 -0.003 0.433
item_ammo_smg1_ttt	3167.177246 1689.359863 98.252296	-18.180 0.468 16.548
item_ammo_smg1_ttt	3176.165527 1676.595337 103.235802	65.885 40.484 87.420
item_ammo_smg1_ttt	1057.523438 311.302368 1.660556	-2.287 0.131 0.085
item_ammo_smg1_ttt	1065.547729 360.392456 1.971683	-2.238 0.114 0.067
item_ammo_smg1_ttt	2469.181152 636.255371 4.503876	-0.135 0.187 -0.082
item_ammo_smg1_ttt	2482.314453 644.174561 4.501040	-0.304 -1.993 -0.096
item_ammo_smg1_ttt	2494.605713 656.482178 4.509339	-0.007 0.162 0.232
item_ammo_smg1_ttt	1998.824097 426.076965 104.551743	-0.516 -0.259 -0.265
item_ammo_smg1_ttt	1988.526611 445.900299 104.530113	0.520 -0.048 -0.155
item_ammo_smg1_ttt	3531.510986 775.165649 8.401748	0.170 -0.005 0.102
item_ammo_smg1_ttt	3565.897705 778.358582 8.481987	-0.082 -0.002 -0.173
item_ammo_smg1_ttt	3562.025635 737.759399 8.474571	0.568 -0.014 0.259
weapon_ttt_m16	3129.742920 1221.448242 9.174400	2.203 -8.225 84.416
weapon_ttt_m16	1320.023682 1526.704102 53.146301	0.435 -9.547 -84.354
weapon_ttt_m16	1761.121704 1342.044800 53.983700	1.646 9.345 -85.350
weapon_ttt_m16	2144.863281 -972.585571 1.226800	2.024 5.201 85.223
weapon_ttt_m16	978.483887 892.838074 0.990500	0.645 -8.571 82.934
weapon_ttt_m16	1540.951904 -774.221680 34.924099	2.113 8.688 84.717
weapon_ttt_m16	2072.978271 596.478271 8.469000	-69.731 -11.799 87.502
weapon_ttt_m16	1574.347412 -1673.408203 2.450700	1.801 -4.204 84.130
ttt_playerspawn	3037.692627 1776.206543 8.511727	-0.025 -0.000 0.025
ttt_playerspawn	4125.467773 1519.914673 8.467791	0.049 -0.000 -0.049
ttt_playerspawn	2066.862061 2716.287598 8.513211	0.034 0.000 -0.034
ttt_playerspawn	438.563599 2021.261353 0.495378	0.040 -0.000 -0.035
ttt_playerspawn	478.239563 66.006454 0.473584	0.054 0.000 -0.031
ttt_playerspawn	498.129303 -1405.787964 0.554384	0.006 -0.084 0.089
ttt_playerspawn	1549.064453 -2156.903076 19.178137	1.246 -0.080 -2.967
ttt_playerspawn	3340.360352 -819.213318 5.335059	-0.996 -0.001 1.085
ttt_playerspawn	3350.843262 324.426575 1.579591	-0.414 -0.010 -0.322
ttt_playerspawn	2421.160156 -817.455627 128.541931	0.192 -0.006 -0.007
ttt_playerspawn	2431.245117 -331.967010 256.530273	0.005 0.104 0.118
ttt_playerspawn	1564.101318 -829.694031 258.484711	0.035 -0.000 -0.043
ttt_playerspawn	2244.424561 -317.399536 0.507662	0.030 -0.000 -0.030
ttt_playerspawn	1649.559814 -805.380676 0.497456	0.035 -0.000 -0.035
ttt_playerspawn	1929.206543 87.817513 256.481018	0.054 -0.000 -0.054
ttt_playerspawn	1579.602539 448.516724 256.536133	0.054 0.000 -0.008
ttt_playerspawn	1804.887817 602.323303 0.535229	0.020 -0.000 -0.020
ttt_playerspawn	2557.713623 615.959045 4.512611	0.041 -0.000 -0.087
ttt_playerspawn	2015.715088 -1504.827271 16.473230	0.038 -0.000 -0.038
ttt_playerspawn	1640.716431 -1512.153809 16.522055	-0.024 0.000 -0.024
ttt_playerspawn	2005.347778 -964.112793 0.524969	0.141 0.135 0.029
ttt_playerspawn	793.946167 -523.917480 0.483152	0.034 0.000 -0.034
ttt_playerspawn	1939.402588 93.648750 0.531105	0.216 0.230 0.003
ttt_playerspawn	1532.485229 1413.661987 14.551334	-0.271 -0.344 4.599
ttt_playerspawn	2705.379883 422.869507 8.503721	0.032 -89.999 -0.032
ttt_playerspawn	2785.741211 -1282.397827 2.490297	0.693 135.009 0.604
ttt_playerspawn	2233.955322 -1502.761963 8.571352	-0.136 90.021 -0.116
ttt_playerspawn	1100.924072 -396.353546 1.782443	-0.663 45.121 -0.787
ttt_playerspawn	924.055359 1019.948547 129.696198	0.149 -0.017 0.131
ttt_playerspawn	1761.971558 -982.295898 128.588989	-0.036 -89.858 0.032
weapon_ttt_mp5	1071.517212 319.978668 2.803422	-1.839 5.400 -87.346
weapon_ttt_mp5	3539.559326 747.513855 9.093085	0.324 6.549 -87.295
item_box_buckshot_ttt	1956.317993 -1488.565552 166.745697	-0.475 1.410 6.831
item_box_buckshot_ttt	1967.571533 -1487.354248 166.924103	-0.201 1.056 6.065
item_box_buckshot_ttt	1981.057251 -1486.451782 166.959000	-0.585 1.396 6.930
item_box_buckshot_ttt	2324.684326 -393.959412 36.381401	-0.223 0.001 0.267
item_box_buckshot_ttt	2323.305420 -407.124603 36.393299	-0.966 -0.004 0.855
item_box_buckshot_ttt	2313.025391 -400.913208 36.382301	-0.371 0.001 0.385
item_box_buckshot_ttt	2101.537109 631.267578 36.372200	-0.747 -0.011 -0.551
item_box_buckshot_ttt	2103.022705 621.199524 36.456001	0.016 -0.043 0.026
item_box_buckshot_ttt	2095.539307 621.594482 36.476898	0.875 -0.021 0.261
item_box_buckshot_ttt	2088.213379 612.379578 36.444599	1.671 0.094 0.498
item_box_buckshot_ttt	1359.864990 1424.253662 55.147598	-0.840 -9.275 0.893
item_box_buckshot_ttt	1376.290283 1438.123169 55.524300	-0.156 0.044 1.487
item_box_buckshot_ttt	1368.645386 1417.491211 55.185101	0.534 -17.670 1.978
item_box_buckshot_ttt	2102.629150 2053.736816 8.415600	-0.759 -0.006 0.676
item_box_buckshot_ttt	2114.125244 2052.414063 8.377800	0.299 0.003 -0.156
item_box_buckshot_ttt	2124.641846 2054.820068 8.414900	-0.770 -0.005 0.683
item_box_buckshot_ttt	2685.731445 636.400330 50.866501	0.208 -0.004 -0.094
item_box_buckshot_ttt	2674.705322 644.488770 50.994701	-0.129 -4.281 -0.006
item_box_buckshot_ttt	2666.134277 656.649475 50.957199	0.129 5.385 0.660
item_box_buckshot_ttt	2915.948730 -1178.315674 49.925919	1.177 0.101 -0.529
item_box_buckshot_ttt	2891.789063 -1179.437866 50.362583	1.197 0.100 -0.516
item_box_buckshot_ttt	2907.643311 -1191.220215 50.240452	1.156 0.101 -0.544
item_box_buckshot_ttt	2939.366943 902.985229 92.195236	-7.022 -0.792 9.768
item_box_buckshot_ttt	2959.052979 932.277893 97.140381	-3.817 -0.014 -1.599
item_ammo_357_ttt	2894.307617 1023.329590 46.431599	-0.510 0.261 2.232
item_ammo_357_ttt	2882.543457 1020.644775 46.043701	-0.357 0.268 2.475
item_ammo_357_ttt	2874.252441 1020.828613 45.923100	-0.453 0.266 2.323
item_ammo_357_ttt	2629.328369 2249.337891 98.429100	0.467 0.055 0.026
item_ammo_357_ttt	2621.041992 2241.426758 98.495201	0.641 -0.018 -0.042
item_ammo_357_ttt	2612.188965 2234.536865 98.457100	0.654 0.430 -0.073
item_ammo_357_ttt	306.707397 1318.546021 0.385300	0.461 0.056 0.034
item_ammo_357_ttt	1881.950073 -1408.688110 16.348200	0.454 0.062 0.049
item_ammo_357_ttt	1870.481812 -1409.504150 16.338600	0.452 0.065 0.053
item_ammo_357_ttt	1894.031616 -1409.008789 16.363701	0.457 0.058 0.043
item_ammo_357_ttt	2324.169434 -356.188599 36.300201	0.740 -0.121 -0.038
item_ammo_357_ttt	2318.100586 -366.347412 36.438000	1.187 -0.274 -0.958
item_ammo_357_ttt	2309.457275 -356.305695 36.427601	1.152 -0.023 -1.079
item_ammo_357_ttt	1953.505737 429.557495 36.358799	0.456 0.062 0.044
item_ammo_357_ttt	1945.672607 429.088501 36.373001	0.459 0.059 0.038
item_ammo_357_ttt	1934.634521 429.859711 36.375900	0.460 0.058 0.037
item_ammo_357_ttt	1109.584351 1041.693970 50.315300	0.364 -0.383 1.324
item_ammo_357_ttt	1122.198608 1042.800537 50.422798	0.443 -0.373 1.257
item_ammo_357_ttt	1132.169434 1043.055298 50.311600	0.333 -0.395 1.350
item_ammo_357_ttt	357.970612 524.198914 0.314800	0.447 0.073 0.062
item_ammo_357_ttt	308.577606 -11.071500 0.317100	0.448 0.073 0.061
item_ammo_357_ttt	1719.594971 919.702332 0.697995	0.300 -0.004 0.764
item_ammo_357_ttt	1735.252808 933.168945 0.848552	0.313 -0.007 0.741
item_ammo_357_ttt	1713.899658 936.438599 0.832774	0.282 -0.001 0.794
item_ammo_357_ttt	1878.965454 425.420563 104.317169	0.448 0.075 0.060
item_ammo_357_ttt	1862.921509 429.443909 104.442780	1.059 -0.410 -0.799
item_ammo_revolver_ttt	2390.749268 1685.454590 8.360400	0.456 -54.502 0.044
item_ammo_revolver_ttt	2345.647949 1733.709351 8.360400	0.456 -52.082 0.044
item_ammo_revolver_ttt	2321.878174 1758.407349 8.360400	0.456 -59.562 0.044
item_ammo_revolver_ttt	1827.966553 -1610.832886 16.398300	0.464 0.055 0.029
item_ammo_revolver_ttt	1778.314819 -1609.550903 16.350000	0.454 0.062 0.048
item_ammo_revolver_ttt	1734.182251 -1613.382202 16.398300	0.464 0.055 0.029
item_ammo_revolver_ttt	1706.413208 -1610.713013 16.319401	0.448 0.073 0.060
item_ammo_revolver_ttt	1685.517212 -1611.829834 16.342501	0.453 0.062 0.051
item_ammo_revolver_ttt	2342.117188 1648.579468 1.249600	0.553 -0.137 -0.046
item_ammo_revolver_ttt	2122.598389 1571.324707 4.624000	1.844 -0.059 0.005
item_ammo_revolver_ttt	4046.916016 1382.335205 8.360435	0.456 0.058 0.044
item_ammo_revolver_ttt	4035.016602 1370.622314 8.323902	0.449 0.069 0.058
item_ammo_revolver_ttt	4024.351807 1359.498291 8.355341	0.455 0.060 0.046
item_ammo_revolver_ttt	2043.260376 1246.091431 1.372173	1.598 -0.272 -0.299
item_ammo_revolver_ttt	2067.593994 1249.673950 1.335225	0.805 -0.022 -0.220
item_ammo_revolver_ttt	2054.609131 1253.855347 1.301712	0.853 -0.023 -0.211
item_ammo_revolver_ttt	336.816223 536.963623 0.464009	1.140 0.322 -0.560
item_ammo_revolver_ttt	356.432068 549.296814 0.328259	0.450 0.068 0.057
item_ammo_revolver_ttt	985.091248 -1582.544434 0.346320	0.453 0.062 0.049
item_ammo_revolver_ttt	996.160522 -1563.235962 0.365303	0.457 0.058 0.042
item_ammo_revolver_ttt	1013.875244 -1586.962036 0.399410	0.464 0.055 0.028
ttt_random_ammo	2701.704346 2157.742676 8.322700	0.047 0.000 -0.033
ttt_random_ammo	2721.384766 2161.540771 8.346800	0.050 0.000 -0.017
ttt_random_ammo	2859.866211 2023.572510 8.452600	0.871 0.024 1.051
ttt_random_ammo	2852.364258 2002.724487 8.346800	0.050 0.000 -0.017
ttt_random_ammo	2972.556152 1883.625000 8.351200	0.052 0.000 -0.011
ttt_random_ammo	3125.580078 1730.316772 8.349000	0.051 0.000 -0.014
ttt_random_ammo	3038.101074 1033.358032 8.418100	1.570 0.041 1.892
ttt_random_ammo	3010.285400 1055.022217 8.322700	0.047 0.000 -0.033
ttt_random_ammo	3416.127930 1438.712036 8.387800	-0.247 -0.001 0.243
ttt_random_ammo	3418.153809 1411.631470 8.367300	0.083 0.000 0.034
ttt_random_ammo	4423.130371 1345.077393 2.939700	0.725 -0.049 0.150
ttt_random_ammo	4428.971680 1326.835815 2.833300	0.670 -0.045 0.168
ttt_random_ammo	4470.787109 1331.506714 2.497500	0.969 -0.040 0.079
ttt_random_ammo	3669.517090 543.656616 1.402000	0.343 -0.224 0.060
ttt_random_ammo	2588.065674 744.384216 3.636500	0.291 0.075 1.048
ttt_random_ammo	2557.148438 751.198181 3.808700	0.161 0.005 1.549
ttt_random_ammo	1317.005249 1680.648071 60.584801	-2.381 0.166 -6.652
ttt_random_ammo	1303.960693 1672.313354 60.452599	-5.478 -0.733 -0.340
ttt_random_ammo	1898.169312 2780.194092 0.340000	0.047 0.000 -0.023
ttt_random_ammo	1567.252930 2469.215576 0.112400	0.030 -0.114 -0.614
ttt_random_ammo	1546.216675 2480.559082 -0.059900	0.082 -0.119 -0.814
ttt_random_ammo	1677.556519 2287.126709 2.487100	0.062 0.505 -5.761
ttt_random_ammo	1015.614380 1083.157349 0.371000	0.099 0.000 0.056
ttt_random_ammo	990.146423 1087.250977 0.351200	0.053 0.000 -0.011
ttt_random_ammo	973.875488 -235.045395 0.346800	0.050 0.000 -0.017
ttt_random_ammo	977.571716 -406.584015 0.445400	1.091 0.028 1.324
ttt_random_ammo	335.862091 -1578.250000 0.367300	0.083 0.000 0.035
ttt_random_ammo	366.099701 -1565.118774 0.414800	1.739 0.031 2.108
ttt_random_ammo	964.228882 -1563.272827 0.437700	1.225 0.030 1.482
ttt_random_ammo	1607.928345 -1723.409058 1.738300	-0.366 0.161 0.023
ttt_random_ammo	1989.942383 -1729.959473 3.854100	-0.804 0.042 -0.155
ttt_random_ammo	2029.978027 -1720.103271 4.074900	-1.069 0.030 -0.122
ttt_random_ammo	2033.591797 -1603.265015 35.816700	-1.277 0.028 -1.806
ttt_random_ammo	2005.686890 -1607.340942 35.748798	0.044 0.000 -0.012
ttt_random_ammo	1939.308960 -1406.825073 16.361500	0.067 0.000 0.012
ttt_random_ammo	2345.510498 -941.534790 0.084200	0.048 -0.066 -0.857
ttt_random_ammo	2314.647949 -701.060425 34.177898	0.351 -2.764 -0.039
ttt_random_ammo	2314.441162 -753.926025 33.431400	-0.066 0.000 0.314
ttt_random_ammo	2368.500488 -545.042480 0.353300	0.055 0.000 -0.007
ttt_random_ammo	2390.055908 -552.321716 0.346800	0.050 0.000 -0.017
ttt_random_ammo	1546.277344 781.085571 0.332800	0.046 0.000 -0.028
ttt_random_ammo	1567.091309 781.028320 0.374500	0.122 0.000 0.085
ttt_random_ammo	1902.810059 783.062195 20.305700	0.703 -0.206 0.144
ttt_random_ammo	2096.060547 645.490112 256.335297	0.047 -0.000 0.027
ttt_random_ammo	2066.217773 641.939514 256.346802	0.050 0.000 -0.017
ttt_random_ammo	1555.071167 750.324524 256.337585	0.047 0.000 -0.025
ttt_random_ammo	1585.969604 750.484375 256.332794	0.047 0.000 -0.028
ttt_random_ammo	1588.936890 774.425415 256.363495	0.072 0.000 0.019
ttt_random_ammo	1555.820068 781.578003 256.450500	0.964 0.026 1.168
ttt_random_ammo	1811.721191 446.797089 104.386703	0.308 0.002 0.319
ttt_random_ammo	1975.191040 -219.533798 256.365387	0.078 -0.000 -0.027
ttt_random_ammo	1974.055786 -230.700195 256.414886	1.749 -0.032 -2.125
ttt_random_ammo	1532.552246 -319.896606 258.361511	0.067 0.000 0.012
ttt_random_ammo	1550.565796 -310.506500 258.391205	0.553 0.004 0.618
ttt_random_ammo	1902.025269 -1615.158325 16.363501	0.071 0.000 0.018
ttt_random_ammo	1880.065552 -1612.187012 16.363501	0.072 0.000 0.019
ttt_random_ammo	1557.696899 -1616.114014 16.438700	1.146 -0.029 -1.384
ttt_random_ammo	1547.805054 -1416.667358 16.355400	0.057 -0.000 0.004
ttt_random_ammo	1580.715576 -1404.226440 16.379400	0.167 0.001 0.143
ttt_random_ammo	2149.453857 -1420.648193 8.380200	-0.153 -0.001 0.126
ttt_random_ammo	2149.312500 -1397.721924 8.368600	-0.083 -0.000 0.035
ttt_random_ammo	3266.593994 -311.626495 5.895500	-1.096 0.012 -1.134
ttt_random_ammo	3217.635010 -313.878387 5.039200	-0.031 0.008 -2.456
ttt_random_ammo	3472.468506 -460.646790 13.570800	-4.585 0.071 0.342
ttt_random_ammo	2729.162354 493.582581 8.379317	0.169 -0.001 -0.146
ttt_random_ammo	2726.700684 476.342407 8.380854	0.191 -0.001 -0.173
ttt_random_ammo	2941.591553 -1225.646484 49.959991	1.456 0.338 -0.479
ttt_random_ammo	2927.342773 -1231.841064 50.276772	1.500 0.321 -0.465
ttt_random_ammo	2949.801758 -1243.384033 50.027824	1.349 0.353 -0.513
ttt_random_ammo	2957.312012 -1253.404541 49.943462	1.534 0.307 -0.454
ttt_random_ammo	2950.601074 -1264.086548 50.219139	1.401 0.347 -0.496
ttt_random_ammo	2913.168213 -1220.203613 50.656799	0.000 0.000 0.000
ttt_random_ammo	973.817627 -221.714447 0.374487	0.121 0.000 0.085
ttt_random_ammo	983.669006 -255.364899 0.389139	0.412 0.003 0.446
ttt_random_ammo	966.284790 -247.848755 0.414906	1.644 0.035 1.983
ttt_random_ammo	2085.388672 -955.655823 51.862198	-0.055 0.000 0.002
ttt_random_ammo	2102.811035 -950.524414 51.854435	-0.048 0.000 0.015
ttt_random_ammo	2110.507568 -962.149231 51.818604	-0.047 -0.000 -0.035
ttt_random_ammo	2268.642090 -975.641174 0.393696	-0.368 -0.002 0.392
ttt_random_ammo	2276.849854 -980.096008 0.396490	0.061 -0.076 -0.763
ttt_random_ammo	2269.901123 -996.976135 0.522906	-0.026 -0.013 -0.797
ttt_random_ammo	2285.432861 -985.864197 0.514798	-0.067 -0.011 -0.663
ttt_random_ammo	2291.840576 -972.453796 0.426989	-0.396 0.373 1.359
ttt_random_ammo	2990.672119 879.294067 64.893486	0.619 1.664 8.846
ttt_random_ammo	2998.375488 890.455566 68.697556	1.553 -1.761 98.346
ttt_random_ammo	3004.774414 907.264526 68.291199	2.504 1.047 5.483
ttt_random_ammo	303.850037 46.921223 0.416375	1.621 0.036 1.956
ttt_random_ammo	320.668427 49.740368 0.350070	-0.025 0.116 0.119
weapon_zm_rifle	2853.082764 1036.666748 47.016899	1.563 13.053 68.601
weapon_zm_rifle	2595.416016 2254.482666 99.852402	-15.309 -10.667 86.499
weapon_zm_rifle	310.221710 1293.409912 1.317900	3.270 11.509 64.568
weapon_zm_rifle	1877.447021 -1448.943359 17.374399	3.325 10.911 65.248
weapon_zm_rifle	2294.553955 -379.806488 1.378900	3.324 105.867 65.310
weapon_zm_rifle	1928.499390 468.223511 9.663400	-67.631 -102.826 -110.619
weapon_zm_rifle	1115.082886 1021.486511 50.892502	3.003 12.829 66.183
weapon_zm_mac10	1657.256592 1452.635742 59.009102	-1.117 -31.173 -88.484
weapon_zm_mac10	2020.908203 455.809204 7.382000	0.284 -40.547 -88.418
weapon_zm_mac10	2141.506836 -1484.708130 9.266400	-0.063 -37.568 -88.537
weapon_zm_mac10	2307.062988 -372.864105 90.974701	0.252 -81.154 87.748
weapon_zm_mac10	2470.780518 -826.646912 257.282715	-0.112 -17.381 -88.440
weapon_zm_mac10	365.347687 -674.114014 1.258700	-0.189 -37.647 -88.544
weapon_zm_mac10	3179.470703 1705.520142 99.493103	-0.799 -42.409 -88.405
item_ammo_pistol_ttt	3132.502930 1248.081543 8.392000	-0.093 -0.020 -0.028
item_ammo_pistol_ttt	3143.527344 1244.427490 8.343000	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	3153.552979 1242.230347 8.405500	-0.081 -0.020 -0.025
item_ammo_pistol_ttt	1355.896606 1556.403931 52.829601	-2.294 -0.017 0.561
item_ammo_pistol_ttt	1341.650391 1554.083862 52.233398	-2.488 0.003 0.565
item_ammo_pistol_ttt	1335.355103 1552.392700 52.077900	-2.868 -0.211 0.562
item_ammo_pistol_ttt	1768.473389 1366.630859 51.812302	-1.113 -0.113 -0.733
item_ammo_pistol_ttt	1753.746460 1361.790649 51.648602	-1.090 -0.117 -0.735
item_ammo_pistol_ttt	1775.902222 1366.304688 52.010799	-2.247 0.375 -0.765
item_ammo_pistol_ttt	2143.081543 -940.389282 -0.221200	0.239 0.043 -0.604
item_ammo_pistol_ttt	2155.236084 -939.727295 -0.194800	0.206 0.063 -0.594
item_ammo_pistol_ttt	2168.833740 -935.950806 -0.220500	0.252 0.059 -0.603
item_ammo_pistol_ttt	1007.375000 905.480225 0.354300	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	983.908875 904.341614 1.294100	-0.450 -0.583 -5.918
item_ammo_pistol_ttt	998.843384 909.429504 0.338200	-0.140 -0.019 -0.042
item_ammo_pistol_ttt	1530.437500 -801.503723 34.222599	0.068 0.021 -0.017
item_ammo_pistol_ttt	1526.861450 -780.931885 34.269100	-0.678 -0.141 -0.002
item_ammo_pistol_ttt	1538.848145 -791.078308 34.252701	-0.776 -0.101 0.115
item_ammo_pistol_ttt	2104.647217 588.832703 6.462100	-0.245 0.703 -0.317
item_ammo_pistol_ttt	2098.319092 589.641418 6.429800	-0.060 -0.020 -0.018
item_ammo_pistol_ttt	2092.256348 590.069275 6.425300	-0.538 0.312 -0.650
item_ammo_pistol_ttt	1545.696411 -1653.399658 1.564500	-0.437 -0.027 0.076
item_ammo_pistol_ttt	1553.691650 -1653.064453 1.613800	-0.418 -0.026 0.075
item_ammo_pistol_ttt	1560.647949 -1651.600098 1.703800	-0.341 -0.025 0.073
item_ammo_pistol_ttt	1881.735107 -538.541992 0.352100	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	881.063416 2263.855225 0.364500	-0.274 59.983 -0.040
item_ammo_pistol_ttt	1008.772705 2419.483398 0.364500	-0.274 44.583 -0.040
item_ammo_pistol_ttt	1446.502441 1669.281616 58.993999	3.308 -0.258 -1.247
item_ammo_pistol_ttt	1237.439575 3138.283203 0.372700	-0.110 -0.019 -0.033
item_ammo_pistol_ttt	1244.497314 3148.956055 0.395100	-0.090 -0.020 -0.027
item_ammo_pistol_ttt	1812.196411 -859.724670 46.988400	-0.428 -0.488 -0.253
item_ammo_pistol_ttt	1792.036133 -859.589783 46.958500	0.006 -1.278 -0.084
item_ammo_pistol_ttt	2303.060791 -238.634903 0.440200	-0.151 0.390 -0.348
item_ammo_pistol_ttt	2315.872070 -238.675201 0.439600	-0.396 0.329 -0.513
item_ammo_pistol_ttt	2929.814697 -1273.523315 50.711498	1.178 0.081 -0.596
item_ammo_pistol_ttt	2908.913086 -1253.128540 50.806396	1.273 0.063 -0.586
item_ammo_pistol_ttt	2753.951904 498.340393 8.325599	0.151 0.018 -0.046
item_ammo_pistol_ttt	2772.269043 488.302765 8.385322	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	2643.681152 596.519592 4.344483	0.282 0.014 -0.147
item_ammo_pistol_ttt	2627.598633 573.056335 4.420103	-0.732 0.274 -0.004
item_ammo_pistol_ttt	2551.091309 676.636536 4.390347	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	2531.886475 674.667419 4.374560	-0.108 -0.019 -0.033
item_ammo_pistol_ttt	2528.317139 698.398376 5.703507	-1.095 -2.558 -4.007
item_ammo_pistol_ttt	1673.290771 628.777771 1.352344	0.046 -0.104 -5.634
item_ammo_pistol_ttt	1666.664551 595.266663 0.354308	-0.126 -0.019 -0.038
